value,valueLabel,valueDescription,ct,valueAltLabel,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q844538,Merina people,The largest ethnic group in Madagascar,1,"Hova, Imerina, Merina, Antimerina",http://www.wikidata.org/entity/Q57363,Andry Rajoelina
http://www.wikidata.org/entity/Q844570,Pomors,ethnic group,1,,http://www.wikidata.org/entity/Q58720,Mikhail Lomonosov
http://www.wikidata.org/entity/Q845985,Negrito,ethnic group,1,,http://www.wikidata.org/entity/Q691,Papua New Guinea
http://www.wikidata.org/entity/Q847603,Dayak people,ethnic group,1,Dayak,http://www.wikidata.org/entity/Q252,Indonesia
http://www.wikidata.org/entity/Q847913,ǃKung people,,1,,http://www.wikidata.org/entity/Q32904,!Kung
http://www.wikidata.org/entity/Q848299,Silt'e people,ethnic group,1,,http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q849811,British,Wikimedia disambiguation page,1,British language,http://www.wikidata.org/entity/Q5549410,Gerald Melling
http://www.wikidata.org/entity/Q851575,Gitxsan people,ethnic group,1,,http://www.wikidata.org/entity/Q7965079,Walter Harris
http://www.wikidata.org/entity/Q851761,Midian,place mentioned in the bible,1,,http://www.wikidata.org/entity/Q7100996,Oreb and Zeeb
http://www.wikidata.org/entity/Q856676,Kokang people,ethnic group,1,,http://www.wikidata.org/entity/Q7087224,Olive Yang
http://www.wikidata.org/entity/Q857026,Bedoun,ethnic group,1,,http://www.wikidata.org/entity/Q4695703,Ahmed Abdul Khaleq
http://www.wikidata.org/entity/Q857626,Lisu people,tribe,1,,http://www.wikidata.org/entity/Q148,People's Republic of China
http://www.wikidata.org/entity/Q861054,Xianbei,ancient people in Manchuria and Mongolia,1,,http://www.wikidata.org/entity/Q20688014,Yu Lidi
http://www.wikidata.org/entity/Q861646,Kuban Cossacks,ethnic group,1,,http://www.wikidata.org/entity/Q78516,Anna Netrebko
http://www.wikidata.org/entity/Q862529,Marehan,ethnic group,1,,http://www.wikidata.org/entity/Q682738,Abdi Farah Shirdon
http://www.wikidata.org/entity/Q871904,New Zealanders,ethnic group,1,New Zealand people,http://www.wikidata.org/entity/Q7151354,Paul Holmes
http://www.wikidata.org/entity/Q8886726,Luo peoples,,1,,http://www.wikidata.org/entity/Q114,Kenya
http://www.wikidata.org/entity/Q889912,Toro Kingdom,subnational kingdom within Uganda,1,,http://www.wikidata.org/entity/Q5490025,Frank Tumwebaze
http://www.wikidata.org/entity/Q891146,Armenians in the Ottoman Empire,,1,,http://www.wikidata.org/entity/Q2899826,Berç Türker
http://www.wikidata.org/entity/Q897129,Roma in Hungary,ethnic group,1,,http://www.wikidata.org/entity/Q28050246,László Bogdán
http://www.wikidata.org/entity/Q905467,Rai people,ethnic group,1,,http://www.wikidata.org/entity/Q837,Nepal
http://www.wikidata.org/entity/Q906900,Filipinos in Japan,ethnic group,1,,http://www.wikidata.org/entity/Q271869,Megumi Nakajima
http://www.wikidata.org/entity/Q918556,Pamunkey,ethnic group,1,,http://www.wikidata.org/entity/Q5139520,Cockacoeske
http://www.wikidata.org/entity/Q921253,Mohave people,,1,,http://www.wikidata.org/entity/Q19878820,Homoseh quahote
http://www.wikidata.org/entity/Q925034,Non-resident Indian and person of Indian origin,ethnic group,1,,http://www.wikidata.org/entity/Q7460862,Shadrach Livingstone James
http://www.wikidata.org/entity/Q927706,Mongo people,A Central African ethnic group of equatorial forest,1,Nkundo,http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo
http://www.wikidata.org/entity/Q9284989,Haitians,inhabitants and citizens of Haiti,1,Haitian,http://www.wikidata.org/entity/Q21203,Aruba
http://www.wikidata.org/entity/Q931963,Banu Najjar,,1,,http://www.wikidata.org/entity/Q4115264,Nusaybah bint Ka'ab
http://www.wikidata.org/entity/Q9334263,Schlesien,Wikimedia disambiguation page,1,,http://www.wikidata.org/entity/Q11769378,Marian Fikus
http://www.wikidata.org/entity/Q935290,"University of Wales, Newport",former university (1841–2013),1,"Gwent College of Higher Education, University of Wales College, Newport",http://www.wikidata.org/entity/Q7694097,Teddy Soeriaatmadja
http://www.wikidata.org/entity/Q939852,Salian Franks,,1,,http://www.wikidata.org/entity/Q2618075,Q2618075
http://www.wikidata.org/entity/Q943349,Kayan people,ethnic group in Myanmar,1,,http://www.wikidata.org/entity/Q3367473,Pascal Khoo Thwe
http://www.wikidata.org/entity/Q947650,Osage Nation,Native American Siouan-speaking tribe in the United States,1,"Ni-U-Kon-Ska, NiuKonska, Osages, Wazhazhe, Wazházhe",http://www.wikidata.org/entity/Q37774747,Wendy Ponca
http://www.wikidata.org/entity/Q947784,Mamluk,organization,1,Mamluke,http://www.wikidata.org/entity/Q29519919,Uthman Bey al-Bardisi
http://www.wikidata.org/entity/Q951201,Ukrainians in Poland,ethnic group,1,,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q954810,Welayta people,ethnic group,1,,http://www.wikidata.org/entity/Q115,Ethiopia
http://www.wikidata.org/entity/Q963575,Sino-Mauritian,ethnic group,1,,http://www.wikidata.org/entity/Q3308697,Michaël Sik Yuen
http://www.wikidata.org/entity/Q968200,Fon people,"a West African ethnic group, largest in Benin",1,"Agadja, Dahomey, Fon nu",http://www.wikidata.org/entity/Q6426501,Kojo Tovalou Houénou
http://www.wikidata.org/entity/Q969667,Ubykh people,ethnic group,1,,http://www.wikidata.org/entity/Q4845407,Rahime Perestu
http://www.wikidata.org/entity/Q997263,White Croats,ethnic group,1,,http://www.wikidata.org/entity/Q3493060,Malfrida
http://www.wikidata.org/entity/Q1009,Cameroon,republic in Central Africa,1,"cm, 🇨🇲, Republic of Cameroon",http://www.wikidata.org/entity/Q51533480,Fongoh Martin
http://www.wikidata.org/entity/Q1033,Nigeria,federal republic in West Africa,1,"NGA, NG, Federal Republic of Nigeria, FRN, Naija, 🇳🇬, NGR",http://www.wikidata.org/entity/Q8991894,Giannis Antetokounmpo
http://www.wikidata.org/entity/Q1036,Uganda,republic in East Africa,1,"ug, Republic of Uganda, 🇺🇬",http://www.wikidata.org/entity/Q28874047,Jessica Karuhanga
http://www.wikidata.org/entity/Q1061,Gujarat,state of India,1,Gujarat State,http://www.wikidata.org/entity/Q7041178,Nita Ambani
http://www.wikidata.org/entity/Q11506,Denpasar,"city and the capital of Bali Province, Indonesia",1,Kota Denpasar,http://www.wikidata.org/entity/Q12471186,Ajun Perwira
http://www.wikidata.org/entity/Q1171,Goa,state on the western coast of India,1,"Konkan, गोंय [language: kok]",http://www.wikidata.org/entity/Q4671035,Acacio Gabriel Viegas
http://www.wikidata.org/entity/Q1186,Kerala,Indian state,1,"God's Own Country, IN-KL, Keralam, Land of coconuts",http://www.wikidata.org/entity/Q7283610,Rahul Pillai
http://www.wikidata.org/entity/Q12542,fundadora marilene,ethnic groups of central Mexico and their civilization,1,"Azteca, Aztec culture, Aztec civilization, Aztec people",http://www.wikidata.org/entity/Q603756,Tenoch
http://www.wikidata.org/entity/Q12585,Latin America,region of the Americas where Romance languages are primarily spoken,1,Latin America and the Caribbean,http://www.wikidata.org/entity/Q2743801,Mandingo
http://www.wikidata.org/entity/Q13310,Navajo,Athabaskan language of Na-Dené stock spoken in the southwestern United States.  Third most spoken language in the United States.,1,"Navaho, nv, Navaho language, Navajo language",http://www.wikidata.org/entity/Q28924933,Esther Belin
http://www.wikidata.org/entity/Q13353,Montserrat,British Overseas Territory in the Caribbean,1,"ms, 🇲🇸",http://www.wikidata.org/entity/Q28860686,Kwame Delfish
http://www.wikidata.org/entity/Q1367,monkey,"animal of the ""higher primates"" (the simians), but excluding the apes",1,monkeys,http://www.wikidata.org/entity/Q6322198,Shift
http://www.wikidata.org/entity/Q1571,Marathi,Indo-Aryan language; a constitutionally-recognised Indian language,1,"mr, Marathi language",http://www.wikidata.org/entity/Q18390367,Yogesh Dattatraya Gosavi
http://www.wikidata.org/entity/Q16330,А,Cyrillic letter,1,"A, A (Cyrillic), а",http://www.wikidata.org/entity/Q4094019,Q4094019
http://www.wikidata.org/entity/Q19682,Severn,river in the United Kingdom,1,River Severn,http://www.wikidata.org/entity/Q1859592,Twrch Trwyth
http://www.wikidata.org/entity/Q19860,Indo-European languages,family of several hundred related languages and dialects,1,Japhetic languages,http://www.wikidata.org/entity/Q2984588,Loris Tjeknavorian
http://www.wikidata.org/entity/Q23666,Great Britain,island in the North Atlantic off the north-west coast of continental Europe,1,"GB, Blighty, Gt. Brit",http://www.wikidata.org/entity/Q1319600,Levi Coffin
http://www.wikidata.org/entity/Q256,Turkish,Turkic language (possibly Altaic),1,"tr, Anatolian Turkish, Istanbul Turkish, Turkish language",http://www.wikidata.org/entity/Q1409120,Tayyareci Fethi Bey
http://www.wikidata.org/entity/Q27381,North Africa,northernmost region of the African continent,1,Northern Africa,http://www.wikidata.org/entity/Q51876693,Mar$o
http://www.wikidata.org/entity/Q28026,Akan language,language of Akan lands in Ghana,1,"ak, Akan language, Fante language, Twi language",http://www.wikidata.org/entity/Q1742284,Kintampo
http://www.wikidata.org/entity/Q33390,Cree,"Algonquian language spoken by people across Canada, from the Northwest Territories and Alberta to Labrador, making it the aboriginal language with the highest number of speakers in Canada",1,"cr, Cree language",http://www.wikidata.org/entity/Q38096312,Amelia Douglas
http://www.wikidata.org/entity/Q33730,Mapudungun,language isolate spoken in Chile and Argentina by the Mapuche people,1,"Araucanian, arn, Mapuche, Mapuche language, Mapudungu, Mapuzugun",http://www.wikidata.org/entity/Q5978667,Loncothegua
http://www.wikidata.org/entity/Q34344,Yurok people,Native Americans who live in northwestern California near the Klamath River and Pacific coast,1,,http://www.wikidata.org/entity/Q6698546,Lucy Thompson
http://www.wikidata.org/entity/Q35032,Eastern Orthodox Church,religious denomination,1,"Eastern Church, Orthodox Church",http://www.wikidata.org/entity/Q1593741,Kemperi
http://www.wikidata.org/entity/Q36126,Komi,Uralic language,1,"kv, Zyryan",http://www.wikidata.org/entity/Q25681017,Svetlana Govoruchina
